"Filename","SourcePath","TargetDomain","TargetPath","Hash","Migrated","Error"
"mcp_server.schema.json","C:\eva-foundry\37-data-model\schema\mcp_server.schema.json","domain_03_ai-runtime","c:\eva-foundry\37-data-model\schema\domain_03_ai-runtime\mcp_server.schema.json","5FFB5DFC83E86621997019DEBD50396B36EF029A864D8029AA10778BAE753403","False",
"milestone.schema.json","C:\eva-foundry\37-data-model\schema\milestone.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\milestone.schema.json","0B5E2F86FB792A15D8C131423CB4B47984FE0DEFFACA2CBDB4EC68EC6DCE5ECC","False",
"performance_trends.schema.json","C:\eva-foundry\37-data-model\schema\performance_trends.schema.json","domain_10_observability-evidence","c:\eva-foundry\37-data-model\schema\domain_10_observability-evidence\performance_trends.schema.json","3C183E6A9B1DFC5C7A9E396D78D37B893EC87FF9A66872E27EA549A6EC1830E5","False",
"persona.schema.json","C:\eva-foundry\37-data-model\schema\persona.schema.json","domain_02_identity-access","c:\eva-foundry\37-data-model\schema\domain_02_identity-access\persona.schema.json","FBC9FBB144700C9161604055538CEC64331FA11B5BF1FB3FCDF40843776E62D0","False",
"portfolio_optimization.schema.json","C:\eva-foundry\37-data-model\schema\portfolio_optimization.schema.json","domain_06_strategy-portfolio","c:\eva-foundry\37-data-model\schema\domain_06_strategy-portfolio\portfolio_optimization.schema.json","33CADA1AF0CD66438A9454082C2D252A9C9112F2606674A054CD7F56D416C847","False",
"project.schema.json","C:\eva-foundry\37-data-model\schema\project.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\project.schema.json","BB37E6C086BB3CA5319BB90399BDDA7807096E11DDBDB187FFCB41A69488BEF2","False",
"project_work.schema.json","C:\eva-foundry\37-data-model\schema\project_work.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\project_work.schema.json","C8CFDDD24AFF45A72FAA0D059537C43B00CA46B1DE0ED67FB704AF792F730C4C","False",
"prompt.schema.json","C:\eva-foundry\37-data-model\schema\prompt.schema.json","domain_03_ai-runtime","c:\eva-foundry\37-data-model\schema\domain_03_ai-runtime\prompt.schema.json","67C4F0C5299207826023D111ABBD05F70A492159EC19794D25B8362C8736A5EA","False",
"red_team_campaigns.schema.json","C:\eva-foundry\37-data-model\schema\red_team_campaigns.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\red_team_campaigns.schema.json","050E706BB83D71688F01942659737493EE7F35259D34DEC29754788F7520809B","False",
"red_team_test_suite.schema.json","C:\eva-foundry\37-data-model\schema\red_team_test_suite.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\red_team_test_suite.schema.json","A15003383C41ECA4D4E4A5E75F1E29A55EE5F664B3754744365E1F2368C9E2E8","False",
"remediation_effectiveness.schema.json","C:\eva-foundry\37-data-model\schema\remediation_effectiveness.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\remediation_effectiveness.schema.json","501ED02017A873F26D0F079ABE31153D8642D07EA7530F2F232FDECD5B419F4C","False",
"remediation_outcomes.schema.json","C:\eva-foundry\37-data-model\schema\remediation_outcomes.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\remediation_outcomes.schema.json","544D7D40BEEEF0C98C56E0F4EEC0A75C454B6144D56AD8C8193050151E381B72","False",
"remediation_policies.schema.json","C:\eva-foundry\37-data-model\schema\remediation_policies.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\remediation_policies.schema.json","C1618B92C6D993C84CE9BA6F8927233014C6E3D56B0E46B045A327EB8F568CB0","False",
"remediation_task.schema.json","C:\eva-foundry\37-data-model\schema\remediation_task.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\remediation_task.schema.json","0E5634B7A6E8ABCE7E6B7D19AEDFF7C47277A27A5B1F64E7CF1FE2CD2CEFE081","False",
"requirement.schema.json","C:\eva-foundry\37-data-model\schema\requirement.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\requirement.schema.json","576F711E50D4C96E0903718686FCDDE04A31EE199108E8B3E7FCE897FE2A2285","False",
"resource_costs.schema.json","C:\eva-foundry\37-data-model\schema\resource_costs.schema.json","domain_11_infrastructure-finops","c:\eva-foundry\37-data-model\schema\domain_11_infrastructure-finops\resource_costs.schema.json","C0589D56E8BB376E0814A671AF6442B5B5F7FDBD2FDC16171889951724D9B8CC","False",
"risk.schema.json","C:\eva-foundry\37-data-model\schema\risk.schema.json","domain_09_governance-policy","c:\eva-foundry\37-data-model\schema\domain_09_governance-policy\risk.schema.json","9C90BCEF390724406171868553E25B362B8B71BD34964E069ADC4AAB2DD6BB68","False",
"risk_ranking.schema.json","C:\eva-foundry\37-data-model\schema\risk_ranking.schema.json","domain_09_governance-policy","c:\eva-foundry\37-data-model\schema\domain_09_governance-policy\risk_ranking.schema.json","40F96B009960A42C93A79FFDC49FA7393C4FE70ED2EED39D36C1B285424EDDA9","False",
"risk_register.schema.json","C:\eva-foundry\37-data-model\schema\risk_register.schema.json","domain_09_governance-policy","c:\eva-foundry\37-data-model\schema\domain_09_governance-policy\risk_register.schema.json","F8E634AC7B5BCA46CC59DECB34F7B96FA96B68CBB89DE57E2B1466EAA98F94BC","False",
"screen.schema.json","C:\eva-foundry\37-data-model\schema\screen.schema.json","domain_04_user-interface","c:\eva-foundry\37-data-model\schema\domain_04_user-interface\screen.schema.json","BA783B2B38D7D717E758BF185457D29EAFC2831371A27B910C9C1FB10DE47404","False",
"screen_registry.schema.json","C:\eva-foundry\37-data-model\schema\screen_registry.schema.json","domain_04_user-interface","c:\eva-foundry\37-data-model\schema\domain_04_user-interface\screen_registry.schema.json","3A63891E922F67F6CE6562E120CA026140018D5FC72A8D7717A726BA9EB8434A","False",
"security_audit_records.schema.json","C:\eva-foundry\37-data-model\schema\security_audit_records.schema.json","domain_10_observability-evidence","c:\eva-foundry\37-data-model\schema\domain_10_observability-evidence\security_audit_records.schema.json","95B897446EA19A49BFE0DAE80FEE0FA36C4639AF14EF82B9B868C13715A4CA96","False",
"security_control.schema.json","C:\eva-foundry\37-data-model\schema\security_control.schema.json","domain_02_identity-access","c:\eva-foundry\37-data-model\schema\domain_02_identity-access\security_control.schema.json","01451D6BB969D4DCF1E4A56E6C2F7A3F0DB7A88BC39ACC3051013B42DA135BF5","False",
"security_controls.schema.json","C:\eva-foundry\37-data-model\schema\security_controls.schema.json","domain_02_identity-access","c:\eva-foundry\37-data-model\schema\domain_02_identity-access\security_controls.schema.json","D19B67EF9E7CE0D262AC8E31036B3CC36181FF71221675A3678BCDD388EC472B","False",
"security_evidence_audit_log.schema.json","C:\eva-foundry\37-data-model\schema\security_evidence_audit_log.schema.json","domain_10_observability-evidence","c:\eva-foundry\37-data-model\schema\domain_10_observability-evidence\security_evidence_audit_log.schema.json","D07652C2C9984152C97C9A5E8AA0E085F682293C93B04366CBEF773299BA91EE","False",
"security_metrics_dashboard.schema.json","C:\eva-foundry\37-data-model\schema\security_metrics_dashboard.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\security_metrics_dashboard.schema.json","E9D37CDDF0CAD8A520E40357D8AE8F62E6D2EA8C8205368CE78ED893E37FDA60","False",
"security_mitigations.schema.json","C:\eva-foundry\37-data-model\schema\security_mitigations.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\security_mitigations.schema.json","7AAC0F36F4E53313043CCD4BA44E739B50A2D64B1DDF2F15BADAD3A8D1195CD2","False",
"service.schema.json","C:\eva-foundry\37-data-model\schema\service.schema.json","domain_01_system-architecture","c:\eva-foundry\37-data-model\schema\domain_01_system-architecture\service.schema.json","C6C2D9561B188D95151C3276C865AC8EB105CBFE99C1A13A6C12E008D22D41A9","False",
"sprint.schema.json","C:\eva-foundry\37-data-model\schema\sprint.schema.json","domain_05_project-pm","c:\eva-foundry\37-data-model\schema\domain_05_project-pm\sprint.schema.json","595F076CEC8269BD428FC57B9B1E8CD443720203799726A114E9877D2AF6BEF0","False",
"strategic_initiatives.schema.json","C:\eva-foundry\37-data-model\schema\strategic_initiatives.schema.json","domain_06_strategy-portfolio","c:\eva-foundry\37-data-model\schema\domain_06_strategy-portfolio\strategic_initiatives.schema.json","F986A41223095210B894A4A21480EEBAFCD0EBA706575B72EAE01E38B55B436B","False",
"supply_chain_inventory.schema.json","C:\eva-foundry\37-data-model\schema\supply_chain_inventory.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\supply_chain_inventory.schema.json","5CB03384FD082D399966645D4C9C72E3888933E1E5647F640A7E29A5436577BF","False",
"threat_intelligence_context.schema.json","C:\eva-foundry\37-data-model\schema\threat_intelligence_context.schema.json","domain_10_observability-evidence","c:\eva-foundry\37-data-model\schema\domain_10_observability-evidence\threat_intelligence_context.schema.json","DA8062CB2F371FE8696BFA6DA3D3F3D213E27971DD7B9E007A453F49A27AFC4D","False",
"threat_models.schema.json","C:\eva-foundry\37-data-model\schema\threat_models.schema.json","domain_12_ontology-domains","c:\eva-foundry\37-data-model\schema\domain_12_ontology-domains\threat_models.schema.json","4667BC4A75BEE0B41328137B03E5BB515E1BE22A76F50D0AA390BC35C8682030","False",
"trace.schema.json","C:\eva-foundry\37-data-model\schema\trace.schema.json","domain_03_ai-runtime","c:\eva-foundry\37-data-model\schema\domain_03_ai-runtime\trace.schema.json","82ACE50946FAEAB17D364F5345F24FF65D4379A2F1F0150B10FC426E839B7305","False",
